experiment,scenario,bandwidth_mb_s,beta,compression_ratio,method,repeat,total_cost,total_latency,total_energy
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,8,105.02177643019195,38.60005306694196,66.42172336324998
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,9,114.12372107428986,38.81816409888994,75.30555697539992
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,10,97.44694659034151,35.41217364065715,62.03477294968437
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,11,111.5622746459794,38.953027357998174,72.60924728798122
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,12,81.68261791758178,33.508991770019264,48.1736261475625
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,13,98.82098736065763,46.849261226057635,51.971726134600004
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,14,101.8627349879267,39.40244597150168,62.46028901642501
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,15,99.55583179528097,38.87032969328099,60.68550210199997
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,16,124.67000749532431,58.4378176059243,66.23218988939999
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,17,122.5202487817722,51.96553776024726,70.55471102152494
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,18,64.50660916069197,28.362935473791975,36.1436736869
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,19,109.24094776610193,39.93758854128945,69.30335922481245
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,20,101.2121307592455,36.6133951083455,64.59873565089998
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,21,87.50607348336123,39.293477190361244,48.212596293
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,22,64.11702243320511,25.519326413305105,38.5976960199
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,23,108.10529530464562,38.716344707995646,69.38895059664998
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,24,111.47601804689378,40.075080107606304,71.40093793928747
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,25,97.8833210492726,36.0045208023351,61.8788002469375
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,26,94.0568554282525,34.18634894670874,59.87050648154375
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,27,99.93992854653624,39.49496196834874,60.444966578187504
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,28,78.74230901479862,30.960873498948608,47.78143551584999
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,29,78.1464063009168,34.09295314571679,44.0534531552
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,0,15.142291556434706,8.330676115103456,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,1,15.683734425514071,8.872118984182821,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,2,15.117357429958517,8.305741988627267,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,3,15.117357429958517,8.305741988627267,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,4,15.870173294314073,9.05855785298282,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,5,15.645049289514073,8.833433848182821,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,6,15.85562838720296,9.04401294587171,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,7,16.047862516545816,9.236247075214568,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,8,15.94932295751407,9.137707516182822,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,9,15.505093746717247,8.693478305385998,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,10,15.16485788576804,8.35324244443679,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,11,15.577278071101372,8.765662629770123,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,12,15.652834960028356,8.841219518697107,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,13,15.652834960028356,8.841219518697107,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,14,15.236801043225185,8.425185601893933,6.81161544133125
